km,stage_fit,fit_p10,fit_p90,n_points
59.3,34.3,26.2,40.3,19
59.4,34.8,26.2,40.5,18
59.5,35.3,26.2,40.3,19
59.6,35.4,26.2,41.7,20
59.7,35.3,26.2,41.6,21
59.8,34.3,22.4,41.6,21
59.9,31.9,21.3,41.3,23
60.0,31.9,21.6,42.3,25
60.1,30.8,21.7,42.2,26
60.2,34.3,21.9,42.0,27
60.3,34.6,20.2,42.4,24
60.4,34.6,20.0,42.6,22
60.5,35.0,20.2,43.1,24
60.6,35.1,20.1,43.1,23
60.7,35.0,20.2,43.1,24
60.8,34.6,20.2,43.1,24
60.9,29.7,20.1,43.1,23
61.0,29.7,20.2,43.0,25
61.1,29.7,20.2,46.2,25
61.2,29.3,20.2,46.2,25
61.3,29.2,20.2,46.2,25
61.4,29.2,20.4,45.2,27
61.5,28.1,20.5,44.2,29
61.6,27.9,19.7,43.7,30
61.7,27.6,17.7,40.9,30
61.8,27.2,12.5,41.1,29
61.9,27.2,12.5,41.1,29
62.0,26.7,12.5,40.9,30
62.1,25.0,12.3,38.3,30
62.2,24.6,12.3,40.9,30
62.3,24.6,12.2,39.7,29
62.4,25.4,12.5,38.9,31
62.5,26.1,12.5,38.8,33
62.6,26.1,12.5,38.3,33
62.7,26.1,11.5,38.0,35
62.8,25.4,11.5,38.0,35
62.9,25.0,11.7,38.7,36
63.0,25.0,12.0,38.9,38
63.1,24.6,11.9,38.9,37
63.2,25.0,11.7,38.7,36
63.3,24.3,11.7,38.7,36
63.4,24.1,11.7,38.7,36
63.5,24.1,11.7,38.7,36
63.6,24.6,11.5,38.8,35
63.7,28.4,11.6,38.8,35
63.8,28.5,15.5,38.8,34
63.9,28.5,15.6,38.8,33
64.0,28.5,15.8,38.8,34
64.1,28.9,17.6,38.9,31
64.2,28.9,17.6,38.9,31
64.3,28.6,17.6,38.6,31
64.4,28.6,16.6,37.7,27
64.5,28.6,16.6,37.7,27
64.6,25.1,16.1,37.2,25
64.7,24.4,16.6,36.5,27
64.8,24.7,17.7,38.7,26
64.9,27.0,18.8,37.6,24
65.0,28.1,19.6,39.5,26
65.1,28.6,19.6,38.5,25
65.2,28.9,20.5,39.4,27
65.3,28.9,21.0,40.7,28
65.4,29.0,23.2,40.7,28
65.5,29.0,23.2,40.7,28
65.6,29.0,22.6,40.6,29
65.7,29.0,22.7,40.5,31
65.8,29.0,22.4,40.5,31
65.9,29.0,22.4,41.2,31
66.0,29.3,22.8,43.5,32
66.1,29.6,22.9,43.6,33
66.2,29.0,22.3,43.4,35
66.3,29.0,22.4,43.2,37
66.4,29.0,21.6,43.2,37
66.5,28.6,20.9,42.9,39
66.6,28.2,17.5,42.9,39
66.7,28.2,17.5,42.9,39
66.8,28.6,18.8,43.2,37
66.9,28.4,16.7,43.0,38
67.0,29.0,16.7,43.2,37
67.1,27.9,16.6,42.3,34
67.2,28.2,16.6,42.1,35
67.3,28.2,16.6,41.3,35
67.4,27.6,16.6,38.4,35
67.5,27.2,16.6,38.4,35
67.6,27.2,16.1,38.8,33
67.7,27.1,16.2,38.4,35
67.8,27.1,16.2,35.1,35
67.9,24.5,16.6,35.1,35
68.0,25.9,16.6,32.6,35
68.1,24.5,16.6,30.0,33
68.2,25.9,16.6,30.0,35
68.3,25.9,16.2,30.0,35
68.4,24.5,16.2,30.0,35
68.5,25.4,16.1,30.0,34
68.6,26.0,16.4,30.0,32
68.7,26.0,17.3,30.5,34
68.8,26.4,18.1,30.9,36
68.9,26.4,18.9,30.8,38
69.0,26.6,20.5,31.1,38
69.1,26.6,20.0,31.1,38
69.2,26.4,20.1,31.1,40
69.3,26.0,19.6,30.7,40
69.4,25.7,19.5,30.7,39
69.5,25.4,19.4,30.8,38
69.6,24.9,19.9,30.9,36
69.7,24.9,19.4,30.8,38
69.8,25.4,19.3,30.9,36
69.9,25.4,19.1,30.9,34
70.0,25.7,19.1,31.0,33
70.1,25.0,18.9,30.7,31
70.2,25.0,19.1,30.6,33
70.3,25.0,19.1,30.3,33
70.4,24.8,19.1,30.3,33
70.5,25.0,19.1,30.9,33
70.6,25.6,19.7,31.0,32
70.7,25.6,20.0,31.2,34
70.8,25.5,19.9,31.2,33
70.9,25.5,19.9,30.9,33
71.0,25.7,19.9,31.2,33
71.1,25.7,20.8,34.4,31
71.2,25.7,19.3,33.7,33
71.3,25.5,18.9,33.7,33
71.4,25.8,19.1,33.3,34
71.5,25.5,16.2,33.0,35
71.6,25.4,13.7,33.3,34
71.7,25.4,14.1,32.7,36
71.8,25.2,13.9,33.0,35
71.9,25.1,14.3,32.3,37
72.0,24.8,14.5,32.0,38
72.1,24.4,14.3,32.3,37
72.2,24.4,14.7,32.7,39
72.3,24.4,14.7,32.7,39
72.4,24.4,14.7,33.7,39
72.5,24.4,15.1,33.8,38
72.6,23.9,15.1,33.2,34
72.7,23.9,15.1,33.2,34
72.8,22.9,15.1,32.2,32
72.9,22.4,15.1,32.3,31
73.0,21.5,14.9,32.4,30
73.1,20.9,14.1,30.2,26
73.2,20.9,14.1,30.2,26
73.3,20.9,13.7,30.4,24
73.4,21.4,15.1,31.5,24
73.5,22.1,15.1,31.5,24
73.6,24.8,18.1,31.7,22
73.7,26.0,18.2,32.2,24
73.8,27.3,18.2,32.2,23
73.9,28.0,18.2,32.2,24
74.0,28.4,18.2,32.2,24
74.1,28.6,20.4,32.3,22
74.2,28.6,20.6,32.6,24
74.3,28.5,21.3,32.5,23
74.4,28.5,20.4,32.6,22
74.5,28.5,20.7,31.9,20
74.6,28.5,21.3,31.9,20
74.7,28.5,22.0,31.8,22
74.8,28.5,19.5,32.4,24
74.9,28.5,17.3,32.4,25
75.0,28.5,17.7,33.2,27
75.1,28.4,17.9,33.1,28
75.2,28.0,16.4,32.8,30
75.3,27.5,15.4,32.6,32
75.4,27.5,15.7,33.5,34
75.5,27.4,15.7,33.5,34
75.6,25.9,15.4,33.8,32
75.7,25.5,15.7,33.5,34
75.8,23.9,15.7,33.1,34
75.9,23.9,14.3,32.8,35
76.0,23.5,13.9,33.3,33
76.1,23.5,13.8,33.6,32
76.2,23.5,14.1,33.1,34
76.3,23.0,14.1,31.0,34
76.4,22.8,13.9,31.0,33
76.5,23.4,13.8,31.1,32
76.6,22.8,13.6,31.1,31
76.7,22.8,13.8,31.1,32
76.8,22.8,13.4,28.4,29
76.9,22.8,13.5,29.3,30
77.0,22.8,13.6,29.2,31
77.1,22.8,15.9,28.1,29
77.2,22.8,16.4,27.9,31
77.3,22.8,17.4,28.1,29
77.4,22.8,17.0,27.9,31
77.5,22.8,17.0,27.9,31
77.6,22.8,16.9,28.3,29
77.7,22.7,16.9,28.2,30
77.8,22.7,16.7,28.6,26
77.9,22.7,16.7,28.6,26
78.0,22.8,17.6,29.1,25
78.1,22.7,17.4,29.1,24
78.2,22.7,16.7,29.1,26
78.3,22.0,11.4,29.1,24
78.4,20.6,11.5,29.1,26
78.5,20.4,10.2,29.1,28
78.6,20.2,9.2,29.0,30
78.7,20.2,9.4,29.2,32
78.8,20.2,9.4,29.2,32
78.9,20.2,9.6,29.1,34
79.0,20.2,9.5,28.8,33
79.1,20.0,9.1,29.1,29
79.2,20.2,9.2,29.2,31
79.3,20.0,9.1,29.7,29
79.4,20.1,9.2,29.5,30
79.5,20.2,10.0,29.8,28
79.6,20.1,9.6,30.0,26
79.7,20.3,10.0,29.8,28
79.8,20.4,10.2,29.7,29
79.9,20.4,10.6,29.4,31
80.0,20.7,10.7,29.4,32
80.1,20.3,10.7,29.2,32
80.2,20.3,10.8,29.2,34
80.3,20.3,13.6,29.2,32
80.4,20.3,13.6,29.2,34
80.5,20.3,14.1,29.2,34
80.6,20.7,17.1,29.2,32
80.7,20.4,17.2,29.2,34
80.8,20.6,17.3,28.7,32
80.9,20.9,17.3,28.0,34
81.0,20.9,17.3,28.0,34
81.1,20.9,17.2,27.3,36
81.2,20.9,17.2,26.5,38
81.3,20.5,17.1,24.1,36
81.4,20.4,17.0,24.0,38
81.5,20.3,17.0,23.5,38
81.6,20.3,17.0,24.0,38
81.7,20.3,16.8,23.9,40
81.8,19.8,15.6,24.0,38
81.9,19.7,14.5,23.9,40
82.0,19.6,14.5,23.9,40
82.1,19.6,14.4,23.2,39
82.2,19.5,14.5,23.1,40
82.3,19.3,14.2,21.3,38
82.4,18.8,13.4,21.3,40
82.5,18.4,13.1,21.2,40
82.6,18.3,12.1,21.2,37
82.7,18.2,12.1,21.2,39
82.8,16.8,11.7,21.2,37
82.9,16.8,10.9,21.2,38
83.0,16.4,10.9,20.8,38
83.1,16.2,9.8,20.3,36
83.2,16.2,10.0,20.3,38
83.3,15.6,9.8,19.9,36
83.4,15.9,10.0,20.3,38
83.5,16.1,9.9,20.3,37
83.6,15.6,9.8,19.5,36
83.7,15.6,9.5,19.4,38
83.8,15.6,9.4,19.5,36
83.9,15.6,9.5,19.4,38
84.0,15.6,10.6,19.3,37
84.1,15.3,10.1,18.5,34
84.2,15.3,10.4,18.8,36
84.3,15.5,10.3,18.9,35
84.4,15.5,10.6,18.8,37
84.5,16.0,10.4,20.0,36
84.6,16.4,10.4,20.4,34
84.7,16.4,10.4,20.4,34
84.8,16.6,11.8,21.1,30
84.9,16.6,12.1,22.3,32
85.0,16.7,12.5,22.6,33
85.1,16.9,13.1,22.7,30
85.2,16.8,13.1,22.6,31
85.3,17.3,13.2,22.8,28
85.4,16.9,12.8,22.7,30
85.5,16.7,12.4,22.5,30
85.6,16.7,12.3,22.7,28
85.7,16.7,12.3,22.7,28
85.8,16.7,12.6,23.1,24
85.9,16.7,12.6,23.1,24
86.0,16.7,12.5,23.2,22
86.1,17.3,12.5,23.2,22
86.2,17.8,12.7,23.1,24
86.3,17.9,12.5,22.4,22
86.4,17.9,12.5,22.4,22
86.5,18.1,13.3,22.5,20
86.6,17.9,12.3,22.3,19
86.7,17.2,12.4,22.2,20
86.8,16.9,12.4,22.0,22
86.9,16.4,12.4,21.9,24
87.0,16.2,12.4,21.9,24
87.1,16.6,12.4,21.3,23
87.2,16.9,12.4,21.2,24
87.3,16.6,11.9,21.3,23
87.4,15.8,11.8,21.1,25
87.5,15.8,11.8,21.8,25
87.6,16.5,11.7,21.9,24
87.7,16.5,11.7,21.8,26
87.8,15.6,11.7,21.7,28
87.9,15.6,11.6,21.6,30
88.0,15.6,10.2,22.0,32
88.1,15.3,10.2,21.8,32
88.2,15.1,10.0,21.5,34
88.3,14.3,9.8,20.0,32
88.4,14.2,9.8,19.9,33
88.5,14.2,9.8,19.9,33
88.6,14.3,9.8,20.0,32
88.7,14.2,9.8,19.9,33
88.8,14.2,9.7,20.2,31
88.9,14.0,9.7,19.9,33
89.0,13.3,9.7,20.0,32
89.1,12.3,8.0,18.8,30
89.2,12.1,7.7,18.6,32
89.3,11.9,6.9,18.5,32
89.4,11.8,6.6,18.4,33
89.5,11.8,6.5,18.6,31
89.6,11.8,5.7,16.5,28
89.7,11.8,5.7,16.5,28
89.8,11.7,4.9,15.2,25
89.9,11.7,4.9,15.2,25
90.0,11.7,4.4,14.1,23
90.1,11.6,3.6,13.2,19
90.2,11.5,3.7,13.1,20
90.3,11.4,3.4,12.7,17
90.4,10.1,3.6,12.6,19
90.5,10.1,3.7,12.4,20
90.6,10.1,3.8,12.4,21
90.7,9.9,3.9,12.3,22
90.8,9.4,3.9,12.3,22
90.9,9.0,3.9,12.2,23
91.0,8.7,3.9,12.4,23
91.1,7.5,3.8,12.4,21
91.2,7.5,3.9,12.9,23
91.3,7.0,3.9,13.1,20
91.4,6.5,3.5,13.0,22
91.5,6.5,3.3,12.9,23
91.6,6.1,3.2,13.2,24
91.7,6.1,3.2,13.2,26
91.8,5.8,3.2,12.7,27
91.9,6.5,3.2,12.5,29
92.0,7.5,3.3,13.8,31
92.1,7.8,3.3,15.1,32
92.2,8.2,3.3,16.3,34
92.3,8.5,3.3,16.8,34
92.4,8.7,3.3,16.8,35
92.5,10.1,3.3,17.0,35
92.6,10.6,3.3,18.9,33
92.7,10.6,3.3,18.5,35
92.8,10.9,3.3,18.7,34
92.9,11.2,3.3,18.5,35
93.0,11.2,3.3,18.5,35
93.1,11.2,3.6,18.9,33
93.2,10.9,3.7,18.7,34
93.3,10.9,5.1,19.2,32
93.4,10.9,5.1,19.2,32
93.5,11.4,5.7,19.5,30
93.6,12.3,6.5,18.0,27
93.7,12.3,6.6,17.5,29
93.8,12.9,7.6,18.2,26
93.9,12.4,7.7,18.0,27
94.0,12.9,6.9,18.2,26
94.1,11.7,6.8,18.6,24
94.2,12.8,6.9,18.1,26
94.3,10.9,6.8,16.5,23
94.4,10.9,6.8,16.4,24
94.5,10.9,6.8,16.4,24
94.6,10.7,6.7,14.7,22
94.7,10.7,6.7,14.5,24
94.8,10.8,6.7,14.8,21
94.9,10.8,6.7,14.6,23
95.0,10.6,6.7,14.6,23
95.1,10.8,6.7,14.8,21
95.2,10.8,6.7,14.6,23
95.3,10.9,6.7,14.8,21
95.4,10.9,6.7,14.8,21
95.5,10.9,5.4,14.7,22
95.6,10.8,5.3,14.8,21
95.7,10.6,5.4,14.7,22
95.8,9.5,5.2,14.8,20
95.9,8.5,5.2,14.8,21
