km,stage_fit,fit_p10,fit_p90,n_points
114.6,5.4,3.3,8.8,8
114.7,5.3,2.2,8.6,10
114.8,4.5,2.0,7.6,8
114.9,4.5,2.0,7.6,8
115.0,4.5,2.0,7.6,8
115.1,4.5,2.0,7.6,8
115.2,4.5,2.0,7.6,8
115.3,4.5,2.0,7.6,8
115.4,4.5,2.0,7.6,8
115.5,4.5,2.0,7.6,8
115.6,4.6,2.2,7.8,6
115.7,4.6,2.2,7.8,6
115.8,4.6,2.2,7.8,6
115.9,4.6,2.2,7.8,6
116.0,4.6,2.2,7.8,6
154.8,8.0,7.2,9.4,5
154.9,8.0,7.2,9.4,5
155.0,8.0,6.5,9.1,6
155.1,8.0,6.5,9.1,6
155.2,8.0,6.5,9.1,6
155.3,8.0,6.5,9.1,6
155.4,8.0,6.5,9.1,6
155.5,8.0,6.5,9.1,6
155.6,8.0,6.5,9.1,6
155.7,8.0,6.5,9.1,6
155.8,8.0,6.5,9.1,6
155.9,8.0,6.5,9.1,6
156.0,8.0,6.5,8.0,5
159.6,9.4,8.7,10.8,5
159.7,9.5,8.7,11.5,6
159.8,9.5,8.7,11.5,6
159.9,9.5,8.7,11.5,6
160.0,9.4,8.8,11.5,7
160.1,9.4,8.9,11.5,9
160.2,9.4,8.9,11.5,9
160.3,9.4,8.9,11.5,9
160.4,9.7,9.1,11.7,9
160.5,9.7,8.9,11.7,9
160.6,10.5,8.9,11.9,9
160.7,10.0,9.0,11.8,10
160.8,10.0,9.0,11.8,10
160.9,10.0,9.0,11.8,10
161.0,10.0,8.8,12.3,12
161.1,10.0,8.8,12.3,12
161.2,11.0,8.9,12.6,12
161.3,11.0,8.9,12.6,12
161.4,11.0,8.9,12.6,12
161.5,10.5,8.7,12.6,13
161.6,10.5,8.7,12.8,13
161.7,10.5,8.7,12.8,13
161.8,10.5,8.7,12.8,13
161.9,10.5,8.7,12.8,13
162.0,10.5,8.7,12.8,13
162.1,11.5,8.5,12.9,10
162.2,11.5,8.5,12.9,10
162.3,11.5,8.5,12.9,10
162.4,11.5,8.5,12.9,10
162.5,11.3,8.4,13.0,9
162.6,11.3,8.4,13.2,7
162.7,12.0,8.2,13.4,6
162.8,12.0,8.2,13.4,6
162.9,12.0,8.2,13.4,6
163.0,12.0,8.2,13.4,6
163.1,12.8,9.1,14.3,5
163.3,11.3,7.7,14.3,5
163.4,11.3,7.7,14.3,5
163.5,12.6,7.7,30.6,6
165.0,13.7,9.1,33.8,5
166.3,12.6,11.3,16.5,5
166.4,12.6,11.3,16.5,5
166.5,12.6,11.3,16.5,5
166.6,12.6,11.3,16.5,5
166.7,12.6,11.3,16.5,5
166.8,12.6,11.3,16.5,5
166.9,12.6,11.3,16.5,5
173.6,15.5,12.3,25.1,5
173.7,14.5,10.6,24.5,6
173.8,14.5,10.6,24.5,6
173.9,14.5,10.6,24.5,6
174.0,14.5,10.6,24.5,6
174.1,13.5,10.4,25.1,5
174.2,13.5,10.4,25.1,5
174.3,13.5,10.4,25.1,5
174.4,13.5,10.4,25.1,5
174.5,13.5,10.4,25.1,5
174.6,13.5,10.4,25.1,5
177.7,11.2,9.4,11.7,5
177.8,11.2,9.4,11.7,5
177.9,11.2,9.4,11.7,5
178.0,11.2,9.4,11.7,5
178.1,11.2,9.4,11.7,5
178.2,11.2,9.4,11.7,5
178.3,11.2,9.4,11.7,5
178.4,11.2,9.4,11.7,5
178.5,11.2,9.4,11.7,5
178.6,11.2,9.4,11.7,5
178.7,11.2,9.4,11.7,5
178.8,11.4,9.6,12.4,6
178.9,11.4,9.6,12.4,6
179.0,11.2,9.4,12.4,5
179.1,11.2,9.4,12.4,5
179.2,11.2,9.4,12.4,5
179.3,11.2,9.4,12.4,5
179.4,11.2,9.4,12.4,5
179.5,10.5,8.0,12.4,5
