km,bed,stage_fit,A,W_top,W_eq,hma,W_top_5,W_top_10,W_top_20
90.5,431.3,10.1,2648,488,262,1,80,488,832
90.6,431.8,10.1,2856,464,283,1,144,464,944
90.7,430.8,9.9,2105,376,213,1,232,376,840
90.8,428.0,9.4,799,272,85,1,56,288,800
90.9,430.2,9.0,1530,264,170,1,208,272,664
91.0,430.6,8.7,1234,216,142,1,176,224,624
91.1,429.2,7.5,855,232,114,1,24,240,688
91.2,430.6,7.5,1115,240,149,1,224,264,896
91.3,430.5,7.0,1086,248,155,1,232,256,992
91.4,428.3,6.5,963,264,148,1,232,336,1136
91.5,427.8,6.5,1291,280,199,1,264,296,632
91.6,426.8,6.1,838,240,137,1,240,384,464
91.7,426.1,6.1,95,24,16,1,24,376,480
91.8,426.1,5.8,944,352,163,1,352,376,480
91.9,426.0,6.5,1469,360,226,1,344,368,456
92.0,425.0,7.5,1753,360,234,1,352,360,448
92.1,424.4,7.8,1794,344,230,1,328,344,368
92.2,423.3,8.2,1612,328,197,1,104,328,360
92.3,423.4,8.5,1605,344,189,1,32,352,480
92.4,423.5,8.7,2084,368,240,1,32,376,552
92.5,423.8,10.1,2401,312,238,1,272,312,576
92.6,423.7,10.6,3628,560,342,1,56,560,608
92.7,422.8,10.6,3665,496,346,1,360,496,808
92.8,422.6,10.9,3424,576,314,1,304,536,648
92.9,421.7,11.2,4026,512,359,1,376,512,736
93.0,420.9,11.2,2452,320,219,1,224,304,616
93.1,420.3,11.2,1787,240,160,1,176,224,464
93.2,417.9,10.9,504,96,46,1,56,72,384
93.3,419.9,10.9,1208,160,111,1,120,152,360
93.4,419.5,10.9,1617,200,148,1,144,200,344
93.5,418.8,11.4,1767,256,155,1,24,248,288
93.6,418.2,12.3,2989,376,243,1,80,376,400
93.7,415.2,12.3,2427,392,197,1,40,128,432
93.8,417.5,12.9,2691,256,209,1,216,248,456
93.9,417.5,12.4,2059,272,166,1,56,232,344
94.0,416.5,12.9,2050,256,159,1,120,240,312
94.1,416.3,11.7,1058,112,90,1,112,112,288
94.2,414.1,12.8,1367,168,107,1,72,96,288
94.3,416.8,10.9,3198,560,293,1,120,528,736
94.4,415.6,10.9,3017,440,277,1,240,432,584
94.5,414.9,10.9,1502,224,138,1,112,224,360
94.6,415.0,10.7,1709,280,160,1,72,272,360
94.7,415.1,10.7,2506,368,234,1,176,368,416
94.8,414.0,10.8,1861,296,172,1,144,288,400
94.9,414.5,10.8,2289,288,212,1,192,280,384
95.0,413.0,10.6,2042,272,193,1,200,272,392
95.1,412.9,10.8,2065,232,191,1,208,232,320
95.2,412.3,10.8,1256,184,116,1,112,184,240
95.3,413.3,10.9,1192,152,109,1,128,144,168
95.4,412.7,10.9,2019,304,185,1,184,304,336
95.5,410.6,10.9,1480,232,136,1,136,232,304
95.6,410.6,10.8,1573,248,146,1,32,248,288
95.7,410.1,10.6,1413,240,133,1,16,240,264
95.8,411.8,9.5,1682,256,177,1,32,256,296
95.9,412.2,8.5,1565,264,184,1,24,296,368
96.0,411.3,8.5,1839,304,216,1,232,304,440
96.1,410.7,8.2,1848,320,225,1,224,320,344
96.2,409.9,8.2,1868,344,228,1,192,352,840
96.3,407.6,7.8,1368,288,175,1,248,304,632
96.4,409.7,7.9,1118,184,141,1,168,184,256
96.5,409.7,7.9,104,16,13,1,16,200,304
96.6,407.6,8.0,963,280,120,1,72,296,344
96.7,408.8,8.0,1233,312,154,1,32,328,384
96.8,408.8,7.9,1393,344,176,1,72,352,392
96.9,407.8,7.9,814,216,103,1,40,320,336
97.0,406.1,7.9,1126,304,142,1,96,320,352
97.1,407.1,8.1,1266,272,156,1,80,288,1040
97.2,407.2,8.1,1620,568,200,1,112,680,696
97.3,406.6,8.0,925,360,116,1,104,512,544
97.4,406.4,7.9,1565,480,198,1,144,528,600
97.5,405.0,8.0,1492,368,186,1,248,520,584
97.6,405.2,8.5,966,184,114,1,128,200,216
97.7,404.6,9.1,124,16,14,1,16,16,232
97.8,404.7,9.7,1388,208,143,1,72,216,240
97.9,404.3,9.7,1424,256,147,1,88,256,304
98.0,404.6,9.7,1651,272,170,1,72,272,304
98.1,403.1,10.4,1591,272,153,1,32,272,312
98.2,405.2,10.4,2060,288,198,1,184,288,344
98.3,403.6,10.7,2753,336,257,1,312,336,416
98.4,400.2,10.8,2112,384,196,1,112,376,472
98.5,403.6,11.0,3133,392,285,1,128,176,488
98.6,402.7,12.1,2893,288,239,1,272,288,432
98.7,401.5,13.4,2714,352,203,1,136,336,480
98.8,403.3,12.1,2529,288,209,1,112,272,360
98.9,403.8,10.8,2338,304,216,1,136,296,384
99.0,400.4,10.8,1852,280,172,1,136,280,328
99.1,402.0,10.1,2001,264,198,1,136,264,288
99.2,402.1,10.1,1762,240,174,1,104,240,288
99.3,401.1,10.8,2006,240,186,1,96,240,288
99.4,401.5,10.8,1326,136,123,1,136,136,240
99.5,400.3,12.1,1279,136,106,1,120,120,144
99.6,399.0,12.1,972,96,80,1,88,96,104
99.7,399.2,12.1,1020,120,84,1,96,112,128
99.8,400.2,14.5,1085,104,75,1,72,80,128
99.9,399.4,14.5,1360,112,94,1,104,112,112
100.0,401.0,18.2,1387,112,76,1,48,96,120
100.1,399.4,18.4,1885,176,102,1,8,104,176
100.2,400.1,18.4,2180,184,118,1,88,120,192
100.3,400.1,18.5,2178,192,118,1,72,128,200
100.4,399.5,18.5,2670,240,144,1,24,152,248
100.5,398.6,13.7,1705,192,124,1,128,144,224
100.6,398.6,8.5,433,56,51,1,56,128,176
100.7,398.4,8.5,742,104,87,1,104,152,176
100.8,396.9,8.2,150,24,18,1,24,32,168
100.9,393.1,7.9,63,8,8,1,8,8,144
101.0,396.8,7.6,886,160,116,1,152,168,192
101.1,397.5,7.3,1026,168,140,1,160,176,184
101.2,394.9,7.0,75,16,11,1,16,16,176
101.3,397.5,6.8,618,136,92,1,120,152,208
101.4,395.8,6.5,312,88,48,1,80,96,176
101.5,395.9,6.2,377,80,61,1,80,88,192
101.6,396.6,5.9,151,40,26,1,40,48,240
101.7,396.2,5.6,509,128,91,1,128,136,192
101.8,395.9,5.3,463,144,87,1,144,152,216
101.9,396.2,5.3,468,136,88,1,136,152,200
102.0,395.6,5.3,89,32,17,1,32,56,224
102.1,395.0,5.0,69,16,14,1,16,24,184
102.2,393.8,5.0,315,88,63,1,88,112,176
102.3,393.5,5.0,397,128,79,1,128,184,216
102.4,393.4,5.0,371,144,74,1,144,192,216
102.5,392.1,5.0,361,88,72,1,88,104,136
102.6,392.7,5.0,195,56,39,1,56,120,168
102.7,391.3,6.8,609,136,90,1,104,136,152
102.8,389.6,6.8,670,128,98,1,120,192,216
102.9,385.4,8.3,136,32,16,1,16,40,160
103.0,386.7,9.2,555,72,60,1,72,72,168
103.1,386.9,10.1,1157,152,115,1,128,152,168
103.2,386.9,11.1,964,104,87,1,96,104,152
103.3,386.2,11.3,956,104,85,1,96,104,184
103.4,386.5,11.2,511,56,46,1,48,56,176
103.5,385.5,11.1,233,24,21,1,24,24,168
103.6,385.9,11.1,1429,144,129,1,136,144,168
103.7,384.6,11.1,1282,144,115,1,128,144,168
103.8,383.5,11.3,161,16,14,1,16,16,152
103.9,384.2,11.3,544,88,48,1,40,88,136
104.0,380.4,11.1,171,24,15,1,16,24,160
104.1,381.9,10.6,663,72,63,1,64,72,144
104.2,385.2,10.6,1122,144,106,1,104,136,176
104.3,384.6,10.1,958,112,95,1,96,112,128
104.4,383.7,10.1,455,56,45,1,48,56,152
104.5,383.7,10.1,795,104,79,1,80,104,160
104.6,383.4,10.6,574,80,54,1,56,64,104
104.7,382.0,10.6,1010,176,95,1,88,168,200
104.8,381.9,10.6,748,96,71,1,72,88,152
104.9,381.6,9.7,330,40,34,1,32,40,168
105.0,381.0,9.6,1135,152,118,1,128,152,168
105.1,379.8,9.6,700,88,73,1,80,88,144
105.2,378.8,9.9,489,56,49,1,48,56,144
105.3,378.6,7.3,192,40,26,1,32,48,152
105.4,380.7,6.8,82,16,12,1,16,16,168
105.5,377.9,5.9,206,40,35,1,40,40,136
105.6,373.7,5.6,91,24,16,1,24,24,24
105.7,375.7,5.6,167,40,30,1,40,40,112
105.8,376.5,5.2,171,56,33,1,56,72,136
105.9,377.1,5.6,85,24,15,1,24,24,96
106.0,374.4,5.6,74,24,13,1,24,24,120
106.1,377.4,6.2,273,64,44,1,56,80,176
106.2,378.3,6.2,201,64,32,1,48,72,200
106.3,376.3,6.2,148,32,24,1,32,32,168
106.4,376.6,6.2,212,40,34,1,40,48,200
106.5,376.0,6.2,662,160,107,1,144,168,240
106.6,376.4,6.2,684,160,110,1,136,272,400
106.7,372.3,6.2,315,144,51,1,136,200,272
106.8,373.3,6.2,593,208,96,1,176,328,424
106.9,375.7,8.7,1487,312,171,1,40,312,624
107.0,375.8,9.2,1172,168,127,1,136,176,520
107.1,374.5,8.5,811,136,95,1,128,144,200
107.2,375.6,8.2,391,72,48,1,64,80,168
107.3,374.5,6.4,139,24,22,1,24,24,160
107.4,375.4,6.4,451,112,70,1,96,112,216
107.5,374.4,6.6,293,56,44,1,48,56,288
107.6,373.9,7.4,508,112,69,1,104,136,232
107.7,374.2,7.4,450,96,61,1,88,112,232
107.8,374.1,8.2,452,80,55,1,64,88,288
107.9,373.2,7.4,368,64,50,1,64,80,296
108.0,372.3,7.4,267,48,36,1,48,48,272
108.1,373.5,7.4,237,40,32,1,40,72,264
108.2,373.9,7.4,254,40,34,1,40,48,288
108.3,373.5,8.2,550,72,67,1,72,80,304
108.4,372.6,8.2,588,88,72,1,88,88,280
108.5,372.8,7.4,824,128,111,1,120,136,328
108.6,372.1,5.9,356,80,60,1,72,80,256
108.7,372.5,5.2,370,88,71,1,88,120,152
108.8,370.8,5.3,250,72,47,1,72,88,472
108.9,371.6,5.3,471,112,89,1,112,120,480
109.0,370.4,5.1,697,248,137,1,240,352,528
109.1,370.3,4.7,158,48,34,1,48,56,720
109.2,369.5,4.6,90,32,20,1,32,32,496
109.3,369.9,4.4,321,88,73,1,96,96,472
109.4,368.8,4.7,83,24,18,1,24,32,488
109.5,369.2,4.7,89,24,19,1,24,32,40
109.6,368.3,4.4,101,32,23,1,32,40,40
109.7,368.1,4.4,589,208,134,1,216,344,488
109.8,368.2,4.4,159,48,36,1,56,64,504
109.9,367.8,4.4,664,232,151,1,232,312,432
110.0,366.1,5.2,442,160,85,1,160,224,264
110.1,367.3,6.4,424,96,66,1,88,104,152
110.2,366.8,6.9,238,48,34,1,48,56,80
110.3,364.5,6.9,364,80,53,1,72,88,120
110.4,363.7,6.9,727,160,105,1,160,176,192
110.5,366.7,7.1,717,112,101,1,112,120,160
110.6,363.6,7.5,538,120,72,1,112,128,176
110.7,364.5,7.5,452,88,60,1,80,88,200
110.8,362.3,7.8,334,56,43,1,56,64,152
110.9,359.7,7.8,180,32,23,1,32,40,136
111.0,360.2,7.8,144,24,18,1,24,32,168
111.1,362.8,8.2,234,40,28,1,32,72,176
111.2,360.4,8.2,191,32,23,1,32,32,160
111.3,360.3,9.9,290,32,29,1,32,32,184
111.4,360.4,11.1,356,56,32,1,32,48,168
111.5,360.2,11.3,435,56,39,1,40,56,144
111.6,360.3,11.3,635,80,56,1,56,72,120
111.7,360.0,11.3,263,24,23,1,24,24,136
111.8,359.3,11.6,591,64,51,1,56,64,168
111.9,360.9,11.6,585,104,50,1,40,96,208
112.0,360.5,11.6,469,88,40,1,32,72,200
112.1,360.5,11.6,544,72,47,1,40,72,176
112.2,359.5,12.1,275,40,23,1,24,32,192
112.3,358.8,11.9,918,112,77,1,72,112,248
112.4,358.7,11.9,971,152,82,1,72,128,280
112.5,357.8,11.9,1456,160,122,1,128,152,264
112.6,358.2,12.8,794,112,62,1,56,72,240
112.7,357.4,12.6,543,80,43,1,40,56,208
112.8,357.0,11.9,582,64,49,1,48,56,200
112.9,356.4,11.9,729,96,61,1,64,80,184
113.0,357.2,11.9,856,112,72,1,72,104,192
113.1,356.9,11.9,636,64,53,1,56,64,208
113.2,356.1,11.9,791,72,67,1,72,72,200
113.3,355.5,11.9,1544,152,130,1,144,152,168
113.4,355.9,11.9,694,72,58,1,56,72,152
113.5,354.8,11.9,1123,120,94,1,96,120,144
113.6,356.6,11.3,237,24,21,1,24,24,168
113.7,354.9,11.3,315,32,28,1,32,32,144
113.8,354.5,10.5,323,40,31,1,32,40,136
113.9,354.5,10.5,388,48,37,1,40,48,80
114.0,353.9,10.5,334,48,32,1,32,48,144
114.1,353.5,6.9,630,112,91,1,104,120,160
114.2,352.1,7.2,110,24,15,1,16,24,224
114.3,354.2,5.3,467,104,88,1,104,128,224
114.4,353.0,5.3,304,88,57,1,80,104,208
114.5,353.0,5.3,155,48,29,1,40,64,192
114.6,353.0,5.4,298,72,55,1,72,80,192
114.7,352.9,5.3,319,72,60,1,72,80,224
114.8,352.4,4.5,275,80,61,1,80,88,512
114.9,351.8,4.5,77,32,17,1,32,48,440
115.0,353.2,4.5,243,96,54,1,96,128,256
115.1,353.1,4.5,221,72,49,1,72,112,344
115.2,352.3,4.5,127,40,28,1,40,48,456
115.3,352.5,4.5,329,184,73,1,184,200,384
115.4,352.9,4.5,314,176,70,1,176,200,288
115.5,352.6,4.5,65,16,14,1,16,16,296
115.6,352.7,4.6,298,104,65,1,104,128,256
115.7,352.0,4.6,88,24,19,1,24,32,264
115.8,351.6,4.6,123,32,27,1,32,48,216
115.9,349.8,4.6,232,64,50,1,64,72,248
116.0,351.4,4.6,295,104,64,1,104,128,224
116.1,352.5,4.6,383,120,83,1,120,144,232
116.2,351.9,4.6,225,80,49,1,88,104,208
116.3,351.1,4.6,166,56,36,1,56,104,264
116.4,349.9,4.6,111,32,24,1,32,40,256
116.5,349.9,4.6,167,72,36,1,72,128,304
116.6,350.3,4.7,194,80,42,1,88,152,232
116.7,350.6,4.7,224,120,48,1,120,152,336
116.8,349.7,4.7,146,120,31,1,120,136,280
116.9,349.4,4.7,319,80,68,1,80,88,272
117.0,348.5,4.7,456,136,97,1,136,184,248
117.1,347.8,4.7,289,96,61,1,104,184,288
117.2,345.8,4.7,151,64,32,1,64,96,208
117.3,348.1,4.7,101,40,21,1,40,88,168
117.4,349.2,4.7,145,48,31,1,56,88,232
117.5,347.5,4.7,95,40,20,1,40,64,280
117.6,346.9,4.7,185,64,39,1,64,104,240
117.7,347.1,4.7,309,96,65,1,96,112,216
117.8,347.1,4.8,312,112,66,1,112,128,224
117.9,348.6,4.8,311,104,65,1,104,120,304
118.0,348.6,4.8,273,80,57,1,80,96,184
118.1,347.2,4.8,38,8,8,1,8,16,136
118.2,347.3,4.8,79,24,16,1,24,24,160
118.3,346.4,4.8,98,24,20,1,24,32,40
118.4,345.9,4.8,348,112,72,1,120,136,192
118.5,346.4,4.8,331,88,69,1,88,112,152
118.6,345.0,4.8,217,64,45,1,64,80,136
118.7,345.4,4.8,144,48,30,1,48,64,120
118.8,342.9,4.8,331,96,68,1,96,128,168
118.9,342.5,4.9,367,112,76,1,112,120,152
119.0,342.3,4.9,63,16,13,1,16,24,96
119.1,342.2,4.9,151,56,31,1,56,88,128
119.2,342.0,4.9,146,48,30,1,48,56,96
119.3,343.1,4.9,123,40,25,1,40,96,264
119.4,342.5,4.9,209,56,43,1,56,72,184
119.5,341.8,4.9,256,72,52,1,72,96,168
119.6,341.9,4.9,120,32,24,1,32,48,128
119.7,341.4,4.9,213,48,43,1,48,56,176
119.8,341.8,4.9,445,104,90,1,104,104,160
119.9,341.0,4.9,460,112,93,1,112,120,168
120.0,339.3,5.0,511,152,103,1,152,160,248
120.1,339.7,5.0,261,88,53,1,88,96,224
120.2,339.9,5.0,371,104,75,1,104,112,176
120.3,339.2,5.0,378,120,76,1,120,136,224
120.4,338.3,5.0,369,144,74,1,144,160,240
120.5,335.6,5.0,85,24,17,1,24,32,248
120.6,338.3,5.0,205,96,41,1,96,136,208
120.7,333.9,5.0,92,32,18,1,32,136,160
120.8,337.1,5.0,120,32,24,1,32,40,176
120.9,336.0,5.0,262,80,52,1,80,96,144
121.0,336.9,5.0,66,16,13,1,16,24,192
121.1,336.6,5.0,175,56,35,1,56,80,192
121.2,336.7,5.1,101,24,20,1,24,24,184
121.3,334.9,5.1,116,32,23,1,32,40,160
121.4,336.1,5.1,93,24,18,1,24,32,176
121.5,333.6,5.1,55,16,11,1,16,24,160
121.6,335.9,5.1,253,64,50,1,64,72,128
121.7,336.8,5.1,287,72,56,1,72,80,144
121.8,332.4,5.1,41,8,8,1,8,16,136
121.9,335.7,5.1,142,40,28,1,40,48,152
122.0,335.0,5.1,168,40,33,1,40,56,224
122.1,333.3,5.1,202,48,39,1,48,56,160
122.2,334.7,5.1,69,16,13,1,16,24,24
122.3,333.6,5.2,92,32,18,1,32,40,160
122.4,335.2,5.2,111,32,21,1,32,40,120
122.5,334.0,5.2,604,136,117,1,136,152,192
122.6,332.7,5.2,41,8,8,1,8,8,8
122.7,333.9,5.2,435,128,84,1,128,144,176
122.8,333.8,5.2,279,88,54,1,88,104,176
122.9,335.8,5.2,196,48,38,1,48,56,128
123.0,334.6,5.2,101,24,19,1,24,24,160
123.1,329.4,5.2,52,16,10,1,16,32,32
123.2,333.9,5.2,126,32,24,1,32,40,144
123.3,333.5,5.2,42,8,8,1,8,8,136
123.4,333.8,5.2,169,40,32,1,40,48,128
123.5,333.3,5.3,157,32,30,1,32,32,104
123.6,333.1,5.3,272,56,52,1,56,64,104
123.7,333.2,5.3,285,80,54,1,80,96,128
123.8,333.5,5.3,268,72,51,1,64,80,144
123.9,332.5,5.3,137,40,26,1,40,48,192
124.0,332.8,5.3,247,56,47,1,56,56,176
124.1,332.2,5.3,447,104,84,1,104,104,112
124.2,332.0,5.3,649,152,122,1,152,168,200
124.3,332.7,5.3,505,112,95,1,112,128,144
124.4,331.4,5.3,43,8,8,1,8,8,8
124.5,332.3,5.3,270,64,50,1,64,112,128
124.6,331.3,5.4,73,24,14,1,16,24,40
124.7,332.0,5.4,84,24,16,1,24,24,80
124.8,329.1,5.4,130,56,24,1,56,72,96
124.9,330.4,5.4,540,152,100,1,152,160,168
125.0,330.8,5.4,897,208,167,1,208,216,280
125.1,328.8,5.4,741,240,137,1,240,336,600
125.2,326.7,5.4,261,96,48,1,80,200,208
125.3,325.8,5.4,64,16,12,1,16,16,24
125.4,327.9,5.4,250,64,46,1,64,64,112
125.5,327.8,5.4,164,40,30,1,40,40,72
125.6,328.1,5.4,175,40,32,1,40,40,96
125.7,326.8,5.4,686,176,126,1,168,184,208
125.8,324.6,5.5,434,144,79,1,144,160,184
125.9,324.2,5.5,396,128,72,1,120,136,136
126.0,323.6,5.5,107,32,20,1,32,32,128
126.1,324.4,5.5,97,24,18,1,24,32,128
126.2,322.5,5.5,333,128,61,1,120,128,128
126.3,323.9,5.5,76,24,14,1,16,24,208
126.4,323.5,5.5,510,128,92,1,128,136,192
126.5,323.3,5.5,292,88,53,1,88,96,152
126.6,323.4,5.5,44,8,8,1,8,8,152
126.7,323.6,5.5,160,40,29,1,40,40,152
126.8,323.1,5.5,154,40,28,1,40,40,144
126.9,323.0,5.6,119,24,21,1,24,24,24
127.0,322.6,5.6,244,48,44,1,48,48,112
127.1,323.3,5.6,64,16,12,1,16,16,128
127.2,322.2,5.6,114,32,20,1,32,40,80
127.3,322.3,5.6,247,48,44,1,48,48,88
127.4,321.7,5.6,285,56,51,1,56,64,184
127.5,319.9,5.6,633,168,113,1,168,176,224
127.6,321.8,5.6,274,56,49,0,56,56,152
127.7,335.0,5.6,378,80,67,0,80,104,144
127.8,334.5,5.6,491,112,87,1,112,128,168
127.9,334.5,5.6,435,112,77,0,104,136,176
128.0,334.0,5.7,493,112,87,0,112,136,168
128.1,333.5,5.7,642,152,113,0,144,168,208
128.2,333.0,5.7,419,104,74,0,104,136,168
128.3,328.2,5.7,45,8,8,0,8,8,160
128.4,332.2,5.7,123,32,22,0,32,40,240
128.5,332.0,5.7,342,88,60,0,88,120,248
128.6,332.3,5.7,240,64,42,0,64,96,312
128.7,330.6,5.7,112,32,20,0,24,64,232
128.8,318.3,5.7,182,40,32,0,40,40,96
128.9,320.4,5.7,108,24,19,0,24,32,160
129.0,327.3,5.7,164,48,29,0,48,64,224
129.1,327.3,5.7,164,48,29,0,40,72,272
129.2,325.6,5.8,229,64,40,0,56,88,264
129.3,317.8,5.8,143,32,25,0,32,56,216
129.4,318.4,5.8,183,48,32,0,48,80,224
129.5,329.5,5.8,287,72,50,0,56,88,168
129.6,329.5,5.8,450,96,78,0,96,112,184
129.7,329.5,5.8,377,88,65,0,80,104,176
129.8,328.6,5.8,123,32,21,0,32,72,320
129.9,328.2,5.8,162,40,28,0,40,48,344
130.0,329.3,5.8,649,176,111,0,152,232,368
130.1,328.3,5.8,858,216,147,0,200,240,288
130.2,326.8,5.8,260,72,45,0,72,200,232
130.3,326.2,5.9,211,64,36,0,56,200,224
130.4,326.4,5.9,262,72,45,0,64,176,216
130.5,324.5,5.9,293,80,50,0,72,104,152
130.6,323.0,5.9,337,80,57,0,72,96,136
130.7,322.5,5.9,299,72,51,0,64,88,104
130.8,321.8,5.9,419,80,71,0,80,96,136
130.9,321.0,5.9,331,80,56,0,72,96,144
131.0,308.0,5.9,67,24,11,0,16,32,48
131.1,320.1,5.9,287,72,48,0,64,96,272
131.2,317.3,5.9,169,56,29,0,48,152,280
131.3,319.1,5.9,319,72,54,0,72,96,360
131.4,319.0,5.9,297,72,50,0,64,96,384
131.5,317.4,6.0,118,24,20,0,24,24,368
131.6,308.2,6.0,114,32,19,0,24,48,360
131.7,306.6,6.0,145,32,24,0,32,40,296
131.8,306.8,6.0,127,32,21,0,32,32,184
131.9,317.5,6.0,113,24,19,0,24,24,280
132.0,317.9,6.0,259,64,43,0,64,88,288
132.1,308.5,6.0,83,16,14,0,16,16,104
132.2,305.7,6.0,184,32,31,0,32,40,128
132.3,319.2,6.0,498,112,83,0,104,144,192
132.4,303.8,6.0,96,16,16,0,16,16,200
132.5,314.0,6.0,698,160,115,0,152,240,288
132.6,303.6,6.1,498,152,82,1,120,368,480
132.7,303.6,6.1,194,48,32,1,48,56,184
132.8,305.3,6.1,77,16,13,1,16,24,200
132.9,305.0,6.1,74,16,12,1,16,32,224
133.0,304.0,6.1,87,16,14,1,16,16,192
133.1,303.8,6.1,107,32,18,1,24,56,288
133.2,302.4,6.1,135,24,22,1,24,24,208
133.3,301.8,6.1,71,16,12,1,16,24,248
133.4,303.0,6.1,62,16,10,1,16,24,208
133.5,312.7,6.1,65,16,11,0,16,24,168
133.6,301.4,6.1,224,48,36,1,48,56,160
133.7,300.4,6.2,191,40,31,1,40,48,168
133.8,314.0,6.2,467,104,76,0,96,120,176
133.9,314.0,6.2,620,136,100,1,128,160,248
134.0,314.0,6.2,570,128,92,0,112,208,264
134.1,308.3,6.2,348,96,56,0,72,128,184
134.2,300.9,6.2,78,16,13,0,16,24,240
134.3,300.8,6.2,92,16,15,1,16,16,120
134.4,299.5,6.2,131,24,21,1,24,32,80
134.5,301.3,6.2,133,32,21,1,24,32,184
134.6,297.7,6.2,190,40,30,1,40,40,88
134.7,300.5,6.2,96,16,15,0,16,16,96
134.8,312.4,6.2,676,128,108,0,120,136,160
134.9,298.0,6.3,168,32,27,0,32,40,168
135.0,296.6,6.3,388,88,62,0,88,96,160
135.1,297.6,6.3,306,64,49,0,56,72,176
135.2,309.0,6.3,112,24,18,0,24,32,248
135.3,299.3,6.3,137,40,22,0,32,48,200
135.4,299.0,6.3,110,32,18,1,24,48,216
135.5,310.5,6.3,741,144,118,1,136,160,224
135.6,298.4,6.3,156,40,25,1,32,56,240
135.7,297.9,6.3,66,16,10,1,16,16,208
135.8,309.2,6.3,843,192,133,0,168,216,296
135.9,295.4,6.3,422,96,66,0,88,112,280
136.0,293.9,6.4,365,96,57,0,88,120,248
136.1,295.4,6.4,179,48,28,1,40,80,272
136.2,295.8,6.4,65,16,10,0,16,16,240
136.3,308.5,6.4,608,128,95,0,112,160,264
136.4,308.5,6.4,793,152,124,0,144,176,280
136.5,308.5,6.4,708,136,111,0,128,160,280
136.6,308.0,6.4,615,128,96,0,112,144,280
136.7,307.5,6.4,385,80,60,0,80,104,264
136.8,307.0,6.4,452,96,70,0,88,120,256
136.9,306.5,6.4,459,88,71,0,80,104,184
137.0,306.0,6.4,537,112,83,0,96,120,160
137.1,305.5,6.4,759,144,118,0,128,160,200
137.2,305.0,6.5,670,120,104,0,112,136,176
137.3,304.5,6.5,699,144,108,0,136,168,216
137.4,304.0,6.5,638,144,99,1,120,160,232
137.5,304.0,6.5,690,168,106,0,136,232,440
137.6,305.2,6.5,743,184,114,0,152,216,312
137.7,304.0,6.5,693,184,107,1,168,208,344
137.8,291.0,6.5,619,128,95,1,128,128,216
137.9,286.6,6.5,95,24,15,1,16,24,24
138.0,291.9,6.5,593,168,91,1,112,200,256
138.1,292.3,6.5,52,8,8,1,8,8,184
138.2,290.9,6.5,159,32,24,1,32,40,216
138.3,289.3,6.6,334,72,51,1,64,80,232
138.4,303.0,6.6,798,160,122,1,144,192,472
138.5,303.0,6.6,763,144,116,1,136,168,368
138.6,303.0,6.6,669,128,102,1,120,152,320
138.7,302.5,6.6,636,120,97,0,112,144,320
138.8,302.5,6.6,648,128,98,0,112,152,368
138.9,303.1,6.6,586,120,89,1,112,160,392
139.0,286.8,6.6,183,40,28,1,40,72,208
139.1,286.6,6.6,113,24,17,1,24,24,320
139.2,287.3,6.6,95,24,14,1,16,24,32
139.3,286.8,6.6,276,64,42,1,56,88,304
139.4,287.2,6.7,206,56,31,0,40,64,152
139.5,287.4,6.7,140,24,21,0,24,24,112
139.6,287.8,6.7,99,24,15,0,16,32,208
139.7,298.0,6.7,574,96,86,0,88,104,360
139.8,299.0,6.7,432,88,65,0,72,104,160
139.9,301.2,6.7,378,88,56,0,72,104,200
140.0,298.6,6.7,147,32,22,0,32,88,480
140.1,287.4,6.7,194,48,29,0,40,72,168
140.2,286.9,6.7,198,32,29,0,32,32,48
140.3,283.0,6.7,54,8,8,0,8,8,8
140.4,285.8,6.7,127,24,19,1,24,24,176
140.5,281.4,6.7,360,80,53,1,72,96,200
140.6,281.8,6.8,472,104,70,1,96,104,136
140.7,282.0,6.8,433,96,64,1,88,104,160
140.8,283.4,6.8,299,72,44,1,64,88,272
140.9,284.2,6.8,179,40,26,0,32,88,208
141.0,282.0,6.8,283,64,42,0,56,80,248
141.1,279.7,6.8,129,24,19,1,24,24,160
141.2,280.7,6.8,142,40,21,0,32,48,192
141.3,281.7,6.8,144,24,21,0,24,24,144
141.4,281.6,6.8,186,40,27,0,40,40,128
141.5,282.9,6.8,137,32,20,0,24,40,160
141.6,282.3,6.8,141,32,21,0,24,40,176
141.7,281.4,6.9,164,32,24,0,32,32,144
141.8,281.5,6.9,232,40,34,0,40,40,136
141.9,281.2,6.9,154,32,22,0,32,40,192
142.0,279.9,6.9,352,72,51,0,72,72,128
142.1,282.5,6.9,155,40,23,0,24,72,248
142.2,293.5,6.9,442,80,64,0,72,96,248
142.3,293.5,6.9,537,104,78,0,88,120,272
142.4,293.5,6.9,504,104,73,0,88,120,288
142.5,293.0,6.9,546,96,79,0,88,112,264
142.6,293.0,6.9,568,104,82,0,88,120,232
142.7,293.0,6.9,599,112,86,0,96,120,184
142.8,292.5,6.9,594,104,86,0,96,120,160
142.9,292.5,7.0,700,120,101,0,112,136,184
143.0,292.5,7.0,747,128,107,0,120,144,176
143.1,292.0,7.0,749,128,107,0,120,136,176
143.2,289.6,7.0,56,8,8,0,8,8,224
143.3,279.1,7.0,116,32,17,0,24,48,248
143.4,277.4,7.0,186,40,27,0,40,48,160
143.5,277.0,7.0,181,48,26,0,32,80,152
143.6,279.9,7.0,209,72,30,0,32,80,208
