run,km,model,fit,p10,p90,n_points,inside,scored
"v10 wet near-miss (123 Mm3, 81% water)",78.9,24.35,20.20,9.60,29.10,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",79.0,24.75,20.20,9.50,28.80,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",79.1,25.14,20.00,9.10,29.10,29,1,1
"v10 wet near-miss (123 Mm3, 81% water)",79.2,25.53,20.20,9.20,29.20,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",79.3,25.84,20.00,9.10,29.70,29,1,1
"v10 wet near-miss (123 Mm3, 81% water)",79.4,26.14,20.10,9.20,29.50,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",79.5,26.45,20.20,10.00,29.80,28,1,1
"v10 wet near-miss (123 Mm3, 81% water)",79.6,26.76,20.10,9.60,30.00,26,1,1
"v10 wet near-miss (123 Mm3, 81% water)",79.7,26.68,20.30,10.00,29.80,28,1,1
"v10 wet near-miss (123 Mm3, 81% water)",79.8,26.60,20.40,10.20,29.70,29,1,1
"v10 wet near-miss (123 Mm3, 81% water)",79.9,26.53,20.40,10.60,29.40,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",80.0,26.45,20.70,10.70,29.40,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",80.1,25.92,20.30,10.70,29.20,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",80.2,25.38,20.30,10.80,29.20,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",80.3,24.85,20.30,13.60,29.20,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",80.4,24.32,20.30,13.60,29.20,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",80.5,23.96,20.30,14.10,29.20,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",80.6,23.60,20.70,17.10,29.20,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",80.7,23.24,20.40,17.20,29.20,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",80.8,22.88,20.60,17.30,28.70,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",80.9,22.51,20.90,17.30,28.00,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",81.0,22.14,20.90,17.30,28.00,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",81.1,21.76,20.90,17.20,27.30,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",81.2,21.39,20.90,17.20,26.50,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",81.3,21.27,20.50,17.10,24.10,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",81.4,21.15,20.40,17.00,24.00,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",81.5,21.03,20.30,17.00,23.50,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",81.6,20.91,20.30,17.00,24.00,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",81.7,20.72,20.30,16.80,23.90,40,1,1
"v10 wet near-miss (123 Mm3, 81% water)",81.8,20.54,19.80,15.60,24.00,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",81.9,20.35,19.70,14.50,23.90,40,1,1
"v10 wet near-miss (123 Mm3, 81% water)",82.0,20.17,19.60,14.50,23.90,40,1,1
"v10 wet near-miss (123 Mm3, 81% water)",82.1,19.65,19.60,14.40,23.20,39,1,1
"v10 wet near-miss (123 Mm3, 81% water)",82.2,19.14,19.50,14.50,23.10,40,1,1
"v10 wet near-miss (123 Mm3, 81% water)",82.3,18.63,19.30,14.20,21.30,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",82.4,18.12,18.80,13.40,21.30,40,1,1
"v10 wet near-miss (123 Mm3, 81% water)",82.5,18.04,18.40,13.10,21.20,40,1,1
"v10 wet near-miss (123 Mm3, 81% water)",82.6,17.95,18.30,12.10,21.20,37,1,1
"v10 wet near-miss (123 Mm3, 81% water)",82.7,17.87,18.20,12.10,21.20,39,1,1
"v10 wet near-miss (123 Mm3, 81% water)",82.8,17.79,16.80,11.70,21.20,37,1,1
"v10 wet near-miss (123 Mm3, 81% water)",82.9,17.86,16.80,10.90,21.20,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",83.0,17.94,16.40,10.90,20.80,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",83.1,18.01,16.20,9.80,20.30,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",83.2,18.08,16.20,10.00,20.30,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",83.3,18.29,15.60,9.80,19.90,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",83.4,18.50,15.90,10.00,20.30,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",83.5,18.70,16.10,9.90,20.30,37,1,1
"v10 wet near-miss (123 Mm3, 81% water)",83.6,18.91,15.60,9.80,19.50,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",83.7,19.16,15.60,9.50,19.40,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",83.8,19.41,15.60,9.40,19.50,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",83.9,19.65,15.60,9.50,19.40,38,0,1
"v10 wet near-miss (123 Mm3, 81% water)",84.0,19.90,15.60,10.60,19.30,37,0,1
"v10 wet near-miss (123 Mm3, 81% water)",84.1,19.89,15.30,10.10,18.50,34,0,1
"v10 wet near-miss (123 Mm3, 81% water)",84.2,19.88,15.30,10.40,18.80,36,0,1
"v10 wet near-miss (123 Mm3, 81% water)",84.3,19.88,15.50,10.30,18.90,35,0,1
"v10 wet near-miss (123 Mm3, 81% water)",84.4,19.87,15.50,10.60,18.80,37,0,1
"v10 wet near-miss (123 Mm3, 81% water)",84.5,19.71,16.00,10.40,20.00,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",84.6,19.54,16.40,10.40,20.40,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",84.7,19.38,16.40,10.40,20.40,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",84.8,19.21,16.60,11.80,21.10,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",84.9,19.23,16.60,12.10,22.30,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",85.0,19.25,16.70,12.50,22.60,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",85.1,19.27,16.90,13.10,22.70,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",85.2,19.29,16.80,13.10,22.60,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",85.3,19.19,17.30,13.20,22.80,28,1,1
"v10 wet near-miss (123 Mm3, 81% water)",85.4,19.09,16.90,12.80,22.70,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",85.5,18.99,16.70,12.40,22.50,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",85.6,18.90,16.70,12.30,22.70,28,1,1
"v10 wet near-miss (123 Mm3, 81% water)",85.7,18.47,16.70,12.30,22.70,28,1,1
"v10 wet near-miss (123 Mm3, 81% water)",85.8,18.04,16.70,12.60,23.10,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",85.9,17.61,16.70,12.60,23.10,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",86.0,17.19,16.70,12.50,23.20,22,1,1
"v10 wet near-miss (123 Mm3, 81% water)",86.1,16.81,17.30,12.50,23.20,22,1,1
"v10 wet near-miss (123 Mm3, 81% water)",86.2,16.44,17.80,12.70,23.10,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",86.3,16.06,17.90,12.50,22.40,22,1,1
"v10 wet near-miss (123 Mm3, 81% water)",86.4,15.69,17.90,12.50,22.40,22,1,1
"v10 wet near-miss (123 Mm3, 81% water)",86.5,15.65,18.10,13.30,22.50,20,1,1
"v10 wet near-miss (123 Mm3, 81% water)",86.6,15.61,17.90,12.30,22.30,19,1,1
"v10 wet near-miss (123 Mm3, 81% water)",86.7,15.57,17.20,12.40,22.20,20,1,1
"v10 wet near-miss (123 Mm3, 81% water)",86.8,15.53,16.90,12.40,22.00,22,1,1
"v10 wet near-miss (123 Mm3, 81% water)",86.9,15.68,16.40,12.40,21.90,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",87.0,15.82,16.20,12.40,21.90,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",87.1,15.97,16.60,12.40,21.30,23,1,1
"v10 wet near-miss (123 Mm3, 81% water)",87.2,16.12,16.90,12.40,21.20,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",87.3,16.28,16.60,11.90,21.30,23,1,1
"v10 wet near-miss (123 Mm3, 81% water)",87.4,16.45,15.80,11.80,21.10,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",87.5,16.62,15.80,11.80,21.80,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",87.6,16.79,16.50,11.70,21.90,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",87.7,16.83,16.50,11.70,21.80,26,1,1
"v10 wet near-miss (123 Mm3, 81% water)",87.8,16.87,15.60,11.70,21.70,28,1,1
"v10 wet near-miss (123 Mm3, 81% water)",87.9,16.91,15.60,11.60,21.60,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",88.0,16.96,15.60,10.20,22.00,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",88.1,16.79,15.30,10.20,21.80,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",88.2,16.62,15.10,10.00,21.50,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",88.3,16.46,14.30,9.80,20.00,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",88.4,16.29,14.20,9.80,19.90,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",88.5,15.89,14.20,9.80,19.90,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",88.6,15.49,14.30,9.80,20.00,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",88.7,15.10,14.20,9.80,19.90,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",88.8,14.70,14.20,9.70,20.20,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",88.9,14.33,14.00,9.70,19.90,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",89.0,13.96,13.30,9.70,20.00,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",89.1,13.59,12.30,8.00,18.80,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",89.2,13.22,12.10,7.70,18.60,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",89.3,12.78,11.90,6.90,18.50,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",89.4,12.34,11.80,6.60,18.40,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",89.5,11.90,11.80,6.50,18.60,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",89.6,11.46,11.80,5.70,16.50,28,1,1
"v10 wet near-miss (123 Mm3, 81% water)",89.7,11.44,11.80,5.70,16.50,28,1,1
"v10 wet near-miss (123 Mm3, 81% water)",89.8,11.41,11.70,4.90,15.20,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",89.9,11.39,11.70,4.90,15.20,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",90.0,11.36,11.70,4.40,14.10,23,1,1
"v10 wet near-miss (123 Mm3, 81% water)",90.1,11.53,11.60,3.60,13.20,19,1,1
"v10 wet near-miss (123 Mm3, 81% water)",90.2,11.69,11.50,3.70,13.10,20,1,1
"v10 wet near-miss (123 Mm3, 81% water)",90.3,11.85,11.40,3.40,12.70,17,1,1
"v10 wet near-miss (123 Mm3, 81% water)",90.4,12.01,10.10,3.60,12.60,19,1,1
"v10 wet near-miss (123 Mm3, 81% water)",90.5,12.06,10.10,3.70,12.40,20,1,1
"v10 wet near-miss (123 Mm3, 81% water)",90.6,12.11,10.10,3.80,12.40,21,1,1
"v10 wet near-miss (123 Mm3, 81% water)",90.7,12.16,9.90,3.90,12.30,22,1,1
"v10 wet near-miss (123 Mm3, 81% water)",90.8,12.21,9.40,3.90,12.30,22,1,1
"v10 wet near-miss (123 Mm3, 81% water)",90.9,12.26,9.00,3.90,12.20,23,0,1
"v10 wet near-miss (123 Mm3, 81% water)",91.0,12.31,8.70,3.90,12.40,23,1,1
"v10 wet near-miss (123 Mm3, 81% water)",91.1,12.36,7.50,3.80,12.40,21,1,1
"v10 wet near-miss (123 Mm3, 81% water)",91.2,12.40,7.50,3.90,12.90,23,1,1
"v10 wet near-miss (123 Mm3, 81% water)",91.3,12.53,7.00,3.90,13.10,20,1,1
"v10 wet near-miss (123 Mm3, 81% water)",91.4,12.65,6.50,3.50,13.00,22,1,1
"v10 wet near-miss (123 Mm3, 81% water)",91.5,12.77,6.50,3.30,12.90,23,1,1
"v10 wet near-miss (123 Mm3, 81% water)",91.6,12.89,6.10,3.20,13.20,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",91.7,13.09,6.10,3.20,13.20,26,1,1
"v10 wet near-miss (123 Mm3, 81% water)",91.8,13.28,5.80,3.20,12.70,27,0,1
"v10 wet near-miss (123 Mm3, 81% water)",91.9,13.48,6.50,3.20,12.50,29,0,1
"v10 wet near-miss (123 Mm3, 81% water)",92.0,13.67,7.50,3.30,13.80,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",92.1,13.75,7.80,3.30,15.10,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",92.2,13.83,8.20,3.30,16.30,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",92.3,13.91,8.50,3.30,16.80,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",92.4,13.99,8.70,3.30,16.80,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",92.5,14.21,10.10,3.30,17.00,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",92.6,14.43,10.60,3.30,18.90,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",92.7,14.64,10.60,3.30,18.50,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",92.8,14.86,10.90,3.30,18.70,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",92.9,15.02,11.20,3.30,18.50,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",93.0,15.18,11.20,3.30,18.50,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",93.1,15.34,11.20,3.60,18.90,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",93.2,15.50,10.90,3.70,18.70,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",93.3,15.38,10.90,5.10,19.20,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",93.4,15.25,10.90,5.10,19.20,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",93.5,15.12,11.40,5.70,19.50,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",93.6,15.00,12.30,6.50,18.00,27,1,1
"v10 wet near-miss (123 Mm3, 81% water)",93.7,14.94,12.30,6.60,17.50,29,1,1
"v10 wet near-miss (123 Mm3, 81% water)",93.8,14.89,12.90,7.60,18.20,26,1,1
"v10 wet near-miss (123 Mm3, 81% water)",93.9,14.83,12.40,7.70,18.00,27,1,1
"v10 wet near-miss (123 Mm3, 81% water)",94.0,14.78,12.90,6.90,18.20,26,1,1
"v10 wet near-miss (123 Mm3, 81% water)",94.1,14.82,11.70,6.80,18.60,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",94.2,14.86,12.80,6.90,18.10,26,1,1
"v10 wet near-miss (123 Mm3, 81% water)",94.3,14.91,10.90,6.80,16.50,23,1,1
"v10 wet near-miss (123 Mm3, 81% water)",94.4,14.95,10.90,6.80,16.40,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",94.5,15.12,10.90,6.80,16.40,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",94.6,15.29,10.70,6.70,14.70,22,0,1
"v10 wet near-miss (123 Mm3, 81% water)",94.7,15.45,10.70,6.70,14.50,24,0,1
"v10 wet near-miss (123 Mm3, 81% water)",94.8,15.62,10.80,6.70,14.80,21,0,1
"v10 wet near-miss (123 Mm3, 81% water)",94.9,15.68,10.80,6.70,14.60,23,0,1
"v10 wet near-miss (123 Mm3, 81% water)",95.0,15.73,10.60,6.70,14.60,23,0,1
"v10 wet near-miss (123 Mm3, 81% water)",95.1,15.78,10.80,6.70,14.80,21,0,1
"v10 wet near-miss (123 Mm3, 81% water)",95.2,15.83,10.80,6.70,14.60,23,0,1
"v10 wet near-miss (123 Mm3, 81% water)",95.3,15.84,10.90,6.70,14.80,21,0,1
"v10 wet near-miss (123 Mm3, 81% water)",95.4,15.84,10.90,6.70,14.80,21,0,1
"v10 wet near-miss (123 Mm3, 81% water)",95.5,15.84,10.90,5.40,14.70,22,0,1
"v10 wet near-miss (123 Mm3, 81% water)",95.6,15.85,10.80,5.30,14.80,21,0,1
"v10 wet near-miss (123 Mm3, 81% water)",95.7,15.99,10.60,5.40,14.70,22,0,1
"v10 wet near-miss (123 Mm3, 81% water)",95.8,16.14,9.50,5.20,14.80,20,0,1
"v10 wet near-miss (123 Mm3, 81% water)",95.9,16.29,8.50,5.20,14.80,21,0,1
"v10 wet near-miss (123 Mm3, 81% water)",96.0,16.43,8.50,5.20,14.80,21,0,1
"v10 wet near-miss (123 Mm3, 81% water)",96.1,16.55,8.20,5.10,14.10,20,0,1
"v10 wet near-miss (123 Mm3, 81% water)",96.2,16.67,8.20,5.10,14.10,20,0,1
"v10 wet near-miss (123 Mm3, 81% water)",96.3,16.79,7.80,5.10,14.00,18,0,1
"v10 wet near-miss (123 Mm3, 81% water)",96.4,16.91,7.90,5.10,14.00,19,0,1
"v10 wet near-miss (123 Mm3, 81% water)",96.5,17.09,7.90,5.10,14.00,19,0,1
"v10 wet near-miss (123 Mm3, 81% water)",96.6,17.27,8.00,5.10,14.00,18,0,1
"v10 wet near-miss (123 Mm3, 81% water)",96.7,17.45,8.00,5.10,14.00,18,0,1
"v10 wet near-miss (123 Mm3, 81% water)",96.8,17.63,7.90,5.00,13.70,17,0,1
"v10 wet near-miss (123 Mm3, 81% water)",96.9,17.96,7.90,4.70,13.60,19,0,1
"v10 wet near-miss (123 Mm3, 81% water)",97.0,18.29,7.90,4.70,14.10,19,0,1
"v10 wet near-miss (123 Mm3, 81% water)",97.1,18.62,8.10,4.70,14.50,19,0,1
"v10 wet near-miss (123 Mm3, 81% water)",97.2,18.95,8.10,4.70,14.50,19,0,1
"v10 wet near-miss (123 Mm3, 81% water)",97.3,19.06,8.00,4.70,14.50,18,0,1
"v10 wet near-miss (123 Mm3, 81% water)",97.4,19.18,7.90,4.70,14.50,19,0,1
"v10 wet near-miss (123 Mm3, 81% water)",97.5,19.29,8.00,4.80,14.40,20,0,1
"v10 wet near-miss (123 Mm3, 81% water)",97.6,19.40,8.50,5.10,15.00,20,0,1
"v10 wet near-miss (123 Mm3, 81% water)",97.7,19.51,9.10,5.20,14.90,22,0,1
"v10 wet near-miss (123 Mm3, 81% water)",97.8,19.62,9.70,4.50,14.90,22,0,1
"v10 wet near-miss (123 Mm3, 81% water)",97.9,19.73,9.70,4.70,14.70,24,0,1
"v10 wet near-miss (123 Mm3, 81% water)",98.0,19.84,9.70,4.40,14.70,24,0,1
"v10 wet near-miss (123 Mm3, 81% water)",98.1,19.92,10.40,4.40,14.90,22,0,1
"v10 wet near-miss (123 Mm3, 81% water)",98.2,20.00,10.40,4.40,14.90,22,0,1
"v10 wet near-miss (123 Mm3, 81% water)",98.3,20.08,10.70,4.40,16.00,23,0,1
"v10 wet near-miss (123 Mm3, 81% water)",98.4,20.15,10.80,4.40,18.50,25,0,1
"v10 wet near-miss (123 Mm3, 81% water)",98.5,20.18,11.00,4.40,18.50,24,0,1
"v10 wet near-miss (123 Mm3, 81% water)",98.6,20.20,12.10,4.40,20.10,24,0,1
"v10 wet near-miss (123 Mm3, 81% water)",98.7,20.23,13.40,4.40,21.90,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",98.8,20.25,12.10,4.40,22.10,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",98.9,20.25,10.80,4.40,21.90,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",99.0,20.24,10.80,4.40,22.30,23,1,1
"v10 wet near-miss (123 Mm3, 81% water)",99.1,20.24,10.10,4.30,22.70,21,1,1
"v10 wet near-miss (123 Mm3, 81% water)",99.2,20.23,10.10,4.30,22.70,21,1,1
"v10 wet near-miss (123 Mm3, 81% water)",99.3,20.14,10.80,4.30,23.40,21,1,1
"v10 wet near-miss (123 Mm3, 81% water)",99.4,20.05,10.80,4.30,23.40,21,1,1
"v10 wet near-miss (123 Mm3, 81% water)",99.5,19.96,12.10,4.30,23.70,20,1,1
"v10 wet near-miss (123 Mm3, 81% water)",99.6,19.87,12.10,4.30,24.40,18,1,1
"v10 wet near-miss (123 Mm3, 81% water)",99.7,19.57,12.10,4.30,24.40,18,1,1
"v10 wet near-miss (123 Mm3, 81% water)",99.8,19.26,14.50,4.30,25.70,14,1,1
"v10 wet near-miss (123 Mm3, 81% water)",99.9,18.96,14.50,4.30,25.70,14,1,1
"v10 wet near-miss (123 Mm3, 81% water)",100.0,18.65,18.20,4.30,26.00,13,1,1
"v10 wet near-miss (123 Mm3, 81% water)",100.1,18.60,18.40,4.70,26.30,12,1,1
"v10 wet near-miss (123 Mm3, 81% water)",100.2,18.54,18.40,4.70,26.30,12,1,1
"v10 wet near-miss (123 Mm3, 81% water)",100.3,18.49,18.50,4.00,27.20,10,1,1
"v10 wet near-miss (123 Mm3, 81% water)",100.4,18.44,18.50,4.00,27.20,10,1,1
"v10 wet near-miss (123 Mm3, 81% water)",100.5,18.42,13.70,3.50,28.40,8,1,1
"v10 wet near-miss (123 Mm3, 81% water)",100.6,18.41,8.50,3.00,25.00,6,1,1
"v10 wet near-miss (123 Mm3, 81% water)",100.7,18.40,8.50,3.00,25.00,6,1,1
"v10 wet near-miss (123 Mm3, 81% water)",101.8,18.72,5.30,4.40,8.20,5,0,1
"v10 wet near-miss (123 Mm3, 81% water)",101.9,18.76,5.30,4.40,8.20,5,0,1
"v10 wet near-miss (123 Mm3, 81% water)",102.0,18.81,5.30,4.40,8.20,5,0,1
"v10 wet near-miss (123 Mm3, 81% water)",102.1,18.93,5.00,4.40,10.60,6,0,1
"v10 wet near-miss (123 Mm3, 81% water)",102.2,19.05,5.00,4.40,10.60,6,0,1
"v10 wet near-miss (123 Mm3, 81% water)",102.3,19.18,5.00,4.40,10.60,6,0,1
"v10 wet near-miss (123 Mm3, 81% water)",102.4,19.30,5.00,4.40,10.60,6,0,1
"v10 wet near-miss (123 Mm3, 81% water)",102.5,19.39,5.00,3.40,14.60,8,0,1
"v10 wet near-miss (123 Mm3, 81% water)",102.6,19.49,5.00,3.40,14.60,8,0,1
"v10 wet near-miss (123 Mm3, 81% water)",102.7,19.59,6.80,4.00,13.40,10,0,1
"v10 wet near-miss (123 Mm3, 81% water)",102.8,19.68,6.80,4.00,13.40,10,0,1
"v10 wet near-miss (123 Mm3, 81% water)",102.9,19.71,8.30,4.30,12.80,11,0,1
"v10 wet near-miss (123 Mm3, 81% water)",103.0,19.74,9.20,4.30,12.80,12,0,1
"v10 wet near-miss (123 Mm3, 81% water)",103.1,19.76,10.10,4.30,12.80,11,0,1
"v10 wet near-miss (123 Mm3, 81% water)",103.2,19.79,11.10,4.30,13.10,13,0,1
"v10 wet near-miss (123 Mm3, 81% water)",103.3,19.76,11.30,4.40,13.10,15,0,1
"v10 wet near-miss (123 Mm3, 81% water)",103.4,19.72,11.20,4.40,13.00,16,0,1
"v10 wet near-miss (123 Mm3, 81% water)",103.5,19.69,11.10,4.40,13.00,17,0,1
"v10 wet near-miss (123 Mm3, 81% water)",103.6,19.65,11.10,4.40,13.00,17,0,1
"v10 wet near-miss (123 Mm3, 81% water)",103.7,19.48,11.10,4.40,13.00,17,0,1
"v10 wet near-miss (123 Mm3, 81% water)",103.8,19.31,11.30,5.70,13.10,15,0,1
"v10 wet near-miss (123 Mm3, 81% water)",103.9,19.13,11.30,5.70,13.10,15,0,1
"v10 wet near-miss (123 Mm3, 81% water)",104.0,18.96,11.10,4.80,13.00,17,0,1
"v10 wet near-miss (123 Mm3, 81% water)",104.1,18.90,10.60,4.00,13.00,16,0,1
"v10 wet near-miss (123 Mm3, 81% water)",104.2,18.85,10.60,4.00,13.00,16,0,1
"v10 wet near-miss (123 Mm3, 81% water)",104.3,18.80,10.10,3.70,12.90,17,0,1
"v10 wet near-miss (123 Mm3, 81% water)",104.4,18.74,10.10,3.70,12.90,17,0,1
"v10 wet near-miss (123 Mm3, 81% water)",104.5,18.85,10.10,3.70,12.90,17,0,1
"v10 wet near-miss (123 Mm3, 81% water)",104.6,18.96,10.60,4.50,12.70,16,0,1
"v10 wet near-miss (123 Mm3, 81% water)",104.7,19.07,10.60,4.50,12.70,16,0,1
"v10 wet near-miss (123 Mm3, 81% water)",104.8,19.19,10.60,4.40,12.70,14,0,1
"v10 wet near-miss (123 Mm3, 81% water)",104.9,19.16,9.70,4.00,12.70,16,0,1
"v10 wet near-miss (123 Mm3, 81% water)",105.0,19.13,9.60,4.00,12.70,15,0,1
"v10 wet near-miss (123 Mm3, 81% water)",105.1,19.10,9.60,4.00,12.70,15,0,1
"v10 wet near-miss (123 Mm3, 81% water)",105.2,19.07,9.90,4.00,12.90,17,0,1
"v10 wet near-miss (123 Mm3, 81% water)",105.3,18.64,7.30,3.90,12.30,13,0,1
"v10 wet near-miss (123 Mm3, 81% water)",105.4,18.20,6.80,3.90,12.20,14,0,1
"v10 wet near-miss (123 Mm3, 81% water)",105.5,17.77,5.90,3.50,12.20,14,0,1
"v10 wet near-miss (123 Mm3, 81% water)",105.6,17.33,5.60,3.40,12.30,13,0,1
"v10 wet near-miss (123 Mm3, 81% water)",105.7,16.34,5.60,3.40,12.30,13,0,1
"v10 wet near-miss (123 Mm3, 81% water)",105.8,15.34,5.20,3.40,12.50,12,0,1
"v10 wet near-miss (123 Mm3, 81% water)",105.9,14.35,5.60,3.40,12.30,13,0,1
"v10 wet near-miss (123 Mm3, 81% water)",106.0,13.35,5.60,3.40,12.30,13,0,1
"v10 wet near-miss (123 Mm3, 81% water)",106.1,13.38,6.20,3.80,12.70,10,0,1
"v10 wet near-miss (123 Mm3, 81% water)",106.2,13.41,6.20,3.80,12.70,10,0,1
"v10 wet near-miss (123 Mm3, 81% water)",106.3,13.43,6.20,3.80,12.70,10,0,1
"v10 wet near-miss (123 Mm3, 81% water)",106.4,13.46,6.20,3.80,12.70,10,0,1
"v10 wet near-miss (123 Mm3, 81% water)",106.5,13.87,6.20,3.80,12.70,10,0,1
"v10 wet near-miss (123 Mm3, 81% water)",106.6,14.27,6.20,3.80,11.30,10,0,1
"v10 wet near-miss (123 Mm3, 81% water)",106.7,14.68,6.20,3.90,11.10,11,0,1
"v10 wet near-miss (123 Mm3, 81% water)",106.8,15.09,6.20,3.90,11.10,11,0,1
"v10 wet near-miss (123 Mm3, 81% water)",106.9,15.20,8.70,3.90,11.10,13,0,1
"v10 wet near-miss (123 Mm3, 81% water)",107.0,15.31,9.20,3.40,11.10,13,0,1
"v10 wet near-miss (123 Mm3, 81% water)",107.1,15.42,8.50,3.50,10.80,14,0,1
"v10 wet near-miss (123 Mm3, 81% water)",107.2,15.53,8.20,3.60,10.70,15,0,1
"v10 wet near-miss (123 Mm3, 81% water)",107.3,15.38,6.40,3.50,9.50,14,0,1
"v10 wet near-miss (123 Mm3, 81% water)",107.4,15.24,6.40,3.50,9.50,14,0,1
"v10 wet near-miss (123 Mm3, 81% water)",107.5,15.09,6.60,3.80,9.90,15,0,1
"v10 wet near-miss (123 Mm3, 81% water)",107.6,14.95,7.40,4.70,9.90,14,0,1
"v10 wet near-miss (123 Mm3, 81% water)",107.7,14.91,7.40,4.70,9.90,14,0,1
