run,km,model,fit,p10,p90,n_points,inside,scored
"v10 wet near-miss (123 Mm3, 81% water)",58.1,26.98,29.80,18.60,42.30,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",58.2,27.06,29.80,20.30,42.30,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",58.3,27.14,29.40,20.00,40.50,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",58.4,27.22,29.40,20.00,40.50,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",58.5,27.27,29.00,20.30,40.40,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",58.6,27.33,29.00,22.40,39.50,23,1,1
"v10 wet near-miss (123 Mm3, 81% water)",58.7,27.38,29.40,22.50,39.80,22,1,1
"v10 wet near-miss (123 Mm3, 81% water)",58.8,27.44,31.60,23.90,40.40,20,1,1
"v10 wet near-miss (123 Mm3, 81% water)",58.9,27.07,32.10,23.90,40.40,20,1,1
"v10 wet near-miss (123 Mm3, 81% water)",59.0,26.71,32.10,24.20,42.50,22,1,1
"v10 wet near-miss (123 Mm3, 81% water)",59.1,26.35,33.30,26.20,42.50,22,1,1
"v10 wet near-miss (123 Mm3, 81% water)",59.2,25.99,34.30,26.30,42.70,21,0,1
"v10 wet near-miss (123 Mm3, 81% water)",59.3,25.50,34.30,26.20,40.30,19,0,1
"v10 wet near-miss (123 Mm3, 81% water)",59.4,25.01,34.80,26.20,40.50,18,0,1
"v10 wet near-miss (123 Mm3, 81% water)",59.5,24.52,35.30,26.20,40.30,19,0,1
"v10 wet near-miss (123 Mm3, 81% water)",59.6,24.03,35.40,26.20,41.70,20,0,1
"v10 wet near-miss (123 Mm3, 81% water)",59.7,23.73,35.30,26.20,41.60,21,0,1
"v10 wet near-miss (123 Mm3, 81% water)",59.8,23.42,34.30,22.40,41.60,21,1,1
"v10 wet near-miss (123 Mm3, 81% water)",59.9,23.11,31.90,21.30,41.30,23,1,1
"v10 wet near-miss (123 Mm3, 81% water)",60.0,22.81,31.90,21.60,42.30,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",60.1,22.57,30.80,21.70,42.20,26,1,1
"v10 wet near-miss (123 Mm3, 81% water)",60.2,22.34,34.30,21.90,42.00,27,1,1
"v10 wet near-miss (123 Mm3, 81% water)",60.3,22.10,34.60,20.20,42.40,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",60.4,21.87,34.60,20.00,42.60,22,1,1
"v10 wet near-miss (123 Mm3, 81% water)",60.5,21.67,35.00,20.20,43.10,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",60.6,21.48,35.10,20.10,43.10,23,1,1
"v10 wet near-miss (123 Mm3, 81% water)",60.7,21.28,35.00,20.20,43.10,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",60.8,21.09,34.60,20.20,43.10,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",60.9,20.89,29.70,20.10,43.10,23,1,1
"v10 wet near-miss (123 Mm3, 81% water)",61.0,20.69,29.70,20.20,43.00,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",61.1,20.48,29.70,20.20,46.20,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",61.2,20.28,29.30,20.20,46.20,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",61.3,20.08,29.20,20.20,46.20,25,0,1
"v10 wet near-miss (123 Mm3, 81% water)",61.4,19.88,29.20,20.40,45.20,27,0,1
"v10 wet near-miss (123 Mm3, 81% water)",61.5,19.67,28.10,20.50,44.20,29,0,1
"v10 wet near-miss (123 Mm3, 81% water)",61.6,19.47,27.90,19.70,43.70,30,0,1
"v10 wet near-miss (123 Mm3, 81% water)",61.7,19.35,27.60,17.70,40.90,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",61.8,19.23,27.20,12.50,41.10,29,1,1
"v10 wet near-miss (123 Mm3, 81% water)",61.9,19.11,27.20,12.50,41.10,29,1,1
"v10 wet near-miss (123 Mm3, 81% water)",62.0,18.99,26.70,12.50,40.90,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",62.1,18.81,25.00,12.30,38.30,30,1,1
