dist_km,lat,lon
90.800,27.859332,85.061790
91.200,27.859136,85.058347
91.600,27.855901,85.056923
92.000,27.853783,85.053714
92.400,27.852830,85.049811
92.800,27.854409,85.046377
93.200,27.856545,85.043109
93.600,27.855418,85.039504
94.000,27.853761,85.035948
94.400,27.854403,85.032050
94.800,27.851697,85.029574
95.200,27.848246,85.028633
95.600,27.846268,85.025242
96.000,27.844375,85.021835
96.400,27.842254,85.019187
96.800,27.838984,85.020786
97.200,27.836255,85.023223
97.600,27.832763,85.022746
98.000,27.829964,85.020193
98.400,27.827170,85.017673
98.800,27.823641,85.017468
99.200,27.820064,85.017072
99.600,27.816938,85.015198
100.000,27.813851,85.013177
100.400,27.810544,85.012039
100.800,27.807979,85.014399
101.200,27.806087,85.011056
101.600,27.804945,85.007638
102.000,27.803335,85.004017
102.400,27.802365,85.000339
102.800,27.803373,84.996464
103.200,27.803449,84.992417
103.600,27.804961,84.989481
104.000,27.805074,84.985709
104.400,27.802857,84.982522
104.800,27.802007,84.978643
105.200,27.801663,84.974687
105.600,27.803424,84.971817
106.000,27.805987,84.970175
106.400,27.809284,84.969382
106.800,27.811993,84.967800
107.200,27.811376,84.964986
107.600,27.814813,84.963866
108.000,27.817180,84.960934
108.400,27.817754,84.957071
108.800,27.816100,84.953504
109.200,27.816817,84.950086
109.600,27.815382,84.946490
110.000,27.812067,84.945100
110.400,27.809218,84.943043
110.800,27.806225,84.940815
111.200,27.804625,84.937743
111.600,27.803869,84.934143
112.000,27.801401,84.931190
112.400,27.799499,84.927738
112.800,27.797646,84.924263
113.200,27.798457,84.920526
113.600,27.800683,84.917374
114.000,27.802630,84.914343
114.400,27.805176,84.912415
114.800,27.804148,84.908524
115.200,27.806466,84.907374
115.600,27.807593,84.904377
116.000,27.806085,84.900696
116.400,27.807063,84.896953
116.800,27.808161,84.893108
117.200,27.809337,84.889323
117.600,27.808792,84.885461
118.000,27.809398,84.882157
118.400,27.808719,84.878531
118.800,27.807957,84.874564
119.200,27.806252,84.871417
119.600,27.803268,84.872133
120.000,27.801864,84.868417
120.400,27.801737,84.864448
120.800,27.804800,84.862365
121.200,27.807240,84.859564
121.600,27.807519,84.855522
122.000,27.808575,84.851648
122.400,27.807127,84.848604
122.800,27.803934,84.847514
123.200,27.802368,84.843855
123.600,27.802056,84.839903
124.000,27.805010,84.837987
124.400,27.807975,84.836846
124.800,27.811144,84.835369
125.200,27.814589,84.834759
125.600,27.817289,84.832087
126.000,27.818985,84.828540
126.400,27.818568,84.824683
