dist_km,lat,lon,elev_m
67.600,27.972764,85.184065,611.0
68.000,27.970158,85.182490,601.0
68.400,27.968942,85.178716,599.0
68.800,27.965758,85.176959,591.0
69.200,27.963962,85.173589,593.0
69.600,27.962661,85.169818,584.0
70.000,27.959394,85.168223,579.0
70.400,27.956487,85.166121,573.0
70.800,27.955194,85.162350,572.0
71.200,27.951881,85.162556,564.0
71.600,27.948303,85.162717,570.0
72.000,27.945328,85.161049,562.0
72.400,27.941948,85.159784,557.0
72.800,27.938728,85.158012,552.0
73.200,27.935691,85.155862,548.0
73.600,27.932307,85.155098,555.0
74.000,27.933225,85.151886,541.0
74.400,27.931852,85.149902,538.0
74.800,27.928429,85.149007,531.0
75.200,27.925463,85.151100,543.0
75.600,27.922072,85.150647,534.0
76.000,27.920744,85.146902,530.0
76.400,27.920211,85.142940,523.0
76.800,27.917389,85.140489,521.0
77.200,27.916424,85.136605,516.0
77.600,27.914139,85.134304,509.0
78.000,27.911606,85.137163,516.0
78.400,27.908470,85.138933,510.0
78.800,27.905226,85.140375,504.0
79.200,27.901877,85.140180,502.0
79.600,27.900042,85.136828,501.0
80.000,27.896543,85.136155,496.0
80.400,27.893044,85.135943,496.0
80.800,27.889643,85.137067,491.0
81.200,27.887263,85.134390,492.0
81.600,27.885039,85.131198,487.0
82.000,27.882783,85.128038,485.0
82.400,27.879782,85.125905,492.0
82.800,27.876245,85.126041,477.0
83.200,27.873883,85.123450,480.0
83.600,27.872359,85.119798,473.0
84.000,27.870417,85.116398,475.0
84.400,27.868357,85.113502,474.0
84.800,27.865119,85.111858,469.0
85.200,27.861838,85.110344,473.0
85.600,27.859632,85.107242,475.0
86.000,27.858134,85.103884,470.0
86.400,27.858734,85.099947,465.0
86.800,27.859975,85.096183,459.0
87.200,27.860376,85.092140,457.0
87.600,27.859273,85.088992,462.0
88.000,27.856554,85.086896,456.0
88.400,27.856228,85.082884,453.0
88.800,27.855943,85.078876,455.0
89.200,27.853922,85.075511,449.0
89.600,27.853334,85.071712,450.0
90.000,27.855252,85.068287,444.0
90.400,27.856990,85.064737,445.0
90.800,27.859332,85.061790,445.0
91.200,27.859136,85.058347,449.0
91.600,27.855901,85.056923,443.0
92.000,27.853783,85.053714,433.0
92.400,27.852830,85.049811,436.0
92.800,27.854409,85.046377,434.0
93.200,27.856545,85.043109,429.0
93.600,27.855418,85.039504,432.0
94.000,27.853761,85.035948,430.0
94.400,27.854403,85.032050,431.0
94.800,27.851697,85.029574,432.0
95.200,27.848246,85.028633,423.0
95.600,27.846268,85.025242,427.0
96.000,27.844375,85.021835,423.0
96.400,27.842254,85.019187,426.0
96.800,27.838984,85.020786,418.0
97.200,27.836255,85.023223,424.0
97.600,27.832763,85.022746,432.0
98.000,27.829964,85.020193,421.0
98.400,27.827170,85.017673,420.0
98.800,27.823641,85.017468,415.0
99.200,27.820064,85.017072,418.0
99.600,27.816938,85.015198,416.0
100.000,27.813851,85.013177,423.0
100.400,27.810544,85.012039,420.0
100.800,27.807979,85.014399,425.0
101.200,27.806087,85.011056,414.0
101.600,27.804945,85.007638,414.0
102.000,27.803335,85.004017,412.0
102.400,27.802365,85.000339,418.0
102.800,27.803373,84.996464,410.0
103.200,27.803449,84.992417,418.0
103.600,27.804961,84.989481,403.0
104.000,27.805074,84.985709,403.0
104.400,27.802857,84.982522,404.0
104.800,27.802007,84.978643,411.0
105.200,27.801663,84.974687,407.0
105.600,27.803424,84.971817,413.0
106.000,27.805987,84.970175,409.0
106.400,27.809284,84.969382,396.0
106.800,27.811993,84.967800,402.0
107.200,27.811376,84.964986,401.0
107.600,27.814813,84.963866,393.0
108.000,27.817180,84.960934,397.0
108.400,27.817754,84.957071,390.0
108.800,27.816100,84.953504,391.0
109.200,27.816817,84.950086,396.0
109.600,27.815382,84.946490,389.0
110.000,27.812067,84.945100,386.0
110.400,27.809218,84.943043,396.0
110.800,27.806225,84.940815,383.0
111.200,27.804625,84.937743,397.0
111.600,27.803869,84.934143,385.0
112.000,27.801401,84.931190,388.0
112.400,27.799499,84.927738,372.0
112.800,27.797646,84.924263,378.0
113.200,27.798457,84.920526,377.0
113.600,27.800683,84.917374,383.0
114.000,27.802630,84.914343,385.0
114.400,27.805176,84.912415,380.0
114.800,27.804148,84.908524,375.0
115.200,27.806466,84.907374,369.0
115.600,27.807593,84.904377,382.0
116.000,27.806085,84.900696,373.0
116.400,27.807063,84.896953,368.0
116.800,27.808161,84.893108,373.0
117.200,27.809337,84.889323,381.0
117.600,27.808792,84.885461,371.0
118.000,27.809398,84.882157,392.0
118.400,27.808719,84.878531,363.0
118.800,27.807957,84.874564,368.0
119.200,27.806252,84.871417,365.0
119.600,27.803268,84.872133,375.0
120.000,27.801864,84.868417,361.0
120.400,27.801737,84.864448,359.0
120.800,27.804800,84.862365,358.0
121.200,27.807240,84.859564,367.0
121.600,27.807519,84.855522,361.0
122.000,27.808575,84.851648,361.0
122.400,27.807127,84.848604,372.0
122.800,27.803934,84.847514,364.0
123.200,27.802368,84.843855,363.0
123.600,27.802056,84.839903,357.0
124.000,27.805010,84.837987,356.0
124.400,27.807975,84.836846,370.0
124.800,27.811144,84.835369,365.0
125.200,27.814589,84.834759,358.0
125.600,27.817289,84.832087,365.0
126.000,27.818985,84.828540,359.0
126.400,27.818568,84.824683,350.0
126.800,27.815659,84.822522,350.0
127.200,27.812108,84.821954,347.0
127.600,27.808735,84.822683,344.0
128.000,27.807680,84.818980,342.0
128.400,27.810349,84.816816,341.0
128.800,27.813610,84.815619,347.0
129.200,27.814619,84.811740,333.0
129.600,27.817296,84.809275,337.0
130.000,27.817109,84.805458,340.0
130.400,27.815453,84.801919,335.0
130.800,27.814519,84.798262,341.0
131.200,27.813361,84.794438,329.0
131.600,27.812899,84.790575,333.0
132.000,27.814701,84.787452,338.0
132.400,27.814003,84.783462,323.0
132.800,27.812835,84.779624,325.0
133.200,27.810295,84.776782,329.0
133.600,27.808696,84.773481,331.0
134.000,27.810510,84.769991,320.0
134.400,27.813541,84.769093,328.0
134.800,27.816467,84.768130,324.0
135.200,27.818526,84.764820,318.0
135.600,27.817552,84.761120,320.0
136.000,27.815185,84.758088,315.0
136.400,27.811981,84.756862,324.0
136.800,27.808580,84.756014,318.0
137.200,27.806128,84.753046,328.0
137.600,27.805367,84.749354,316.0
138.000,27.804980,84.745767,316.0
138.400,27.804422,84.741918,309.0
138.800,27.803745,84.738114,312.0
139.200,27.800408,84.737212,308.0
139.600,27.798095,84.734925,308.0
140.000,27.795772,84.731959,312.0
140.400,27.797324,84.728952,313.0
140.800,27.800295,84.727030,306.0
141.200,27.801118,84.723103,311.0
141.600,27.802984,84.719874,303.0
142.000,27.802598,84.716981,306.0
142.400,27.800681,84.713589,306.0
142.800,27.801133,84.709695,298.0
143.200,27.804063,84.708135,300.0
143.600,27.807162,84.707189,314.0
144.000,27.807403,84.703140,300.0
144.400,27.808106,84.699157,304.0
144.800,27.809017,84.695223,298.0
145.200,27.809660,84.691232,293.0
145.600,27.810448,84.687284,297.0
146.000,27.811191,84.683417,296.0
146.400,27.813488,84.680299,294.0
146.800,27.815616,84.677060,298.0
147.200,27.816654,84.673178,287.0
147.600,27.817731,84.669328,289.0
148.000,27.820392,84.667222,277.0
148.400,27.823736,84.666878,286.0
148.800,27.826450,84.664349,284.0
149.200,27.828800,84.661326,288.0
149.600,27.832308,84.661593,314.0
150.000,27.835601,84.663183,283.0
150.400,27.839155,84.663697,286.0
150.800,27.842450,84.663047,275.0
151.200,27.845801,84.661581,276.0
151.600,27.849239,84.660422,279.0
152.000,27.851711,84.657591,276.0
152.400,27.852414,84.653646,268.0
152.800,27.852758,84.649608,284.0
153.200,27.854704,84.646799,298.0
153.600,27.857573,84.649193,280.0
154.000,27.859873,84.647909,270.0
154.400,27.860272,84.644080,278.0
154.800,27.859839,84.640207,268.0
155.200,27.860216,84.636228,272.0
155.600,27.862824,84.633974,258.0
156.000,27.866398,84.633513,267.0
156.400,27.869573,84.632432,266.0
156.800,27.870931,84.628747,259.0
157.200,27.873942,84.626979,260.0
157.600,27.877392,84.627387,265.0
158.000,27.879767,84.624548,258.0
158.400,27.880820,84.620700,254.0
158.800,27.879261,84.617476,257.0
159.200,27.876711,84.614676,251.0
159.600,27.873283,84.613925,249.0
160.000,27.872084,84.610244,261.0
160.400,27.871626,84.606260,251.0
160.800,27.874286,84.603865,249.0
161.200,27.876252,84.600939,251.0
161.600,27.876125,84.596918,251.0
162.000,27.877881,84.593470,248.0
162.400,27.880006,84.590345,252.0
162.800,27.878275,84.586933,245.0
163.200,27.875968,84.583847,257.0
163.600,27.874160,84.580336,265.0
164.000,27.871695,84.577421,255.0
164.400,27.868240,84.576883,243.0
164.800,27.864777,84.577323,256.0
165.200,27.862347,84.574381,242.0
165.600,27.860325,84.571110,242.0
166.000,27.858907,84.567372,247.0
166.400,27.858258,84.563395,252.0
166.800,27.857894,84.559386,246.0
167.200,27.855282,84.557406,235.0
